model,probability,threshold,net_benefit,treat_all,treat_none
Logistic,raw,0.05,0.0750260184359203,0.07523044900386561,0
Logistic,platt,0.05,0.08089875111507583,0.07523044900386561,0
Logistic,raw,0.1,0.029072504708097923,0.023854362837413698,0
Logistic,platt,0.1,0.05296610169491525,0.023854362837413698,0
Logistic,raw,0.138,-0.003969385347437975,-0.01917757940409244,0
Logistic,platt,0.138,0.03997978030332822,-0.01917757940409244,0
Logistic,raw,0.2,-0.052701271186440676,-0.09816384180790959,0
Logistic,platt,0.2,0.020745056497175143,-0.09816384180790959,0
Logistic,raw,0.3,-0.10774818401937049,-0.2550443906376109,0
Logistic,platt,0.3,0.003884180790960452,-0.2550443906376109,0
Logistic,raw,0.4,-0.15030602636534843,-0.4642184557438795,0
Logistic,platt,0.4,-0.00035310734463277085,-0.4642184557438795,0
Logistic,raw,0.5,-0.17019774011299435,-0.7570621468926553,0
Logistic,platt,0.5,0.002824858757062147,-0.7570621468926553,0
RandomForest,raw,0.05,0.0767172167707404,0.07523044900386561,0
RandomForest,platt,0.05,0.07965358311031816,0.07523044900386561,0
RandomForest,raw,0.1,0.03731167608286252,0.023854362837413698,0
RandomForest,platt,0.1,0.05096516007532956,0.023854362837413698,0
RandomForest,raw,0.138,0.011735289105614315,-0.01917757940409244,0
RandomForest,platt,0.138,0.03673217586220457,-0.01917757940409244,0
RandomForest,raw,0.2,-0.02065677966101695,-0.09816384180790959,0
RandomForest,platt,0.2,0.020127118644067795,-0.09816384180790959,0
RandomForest,raw,0.3,-0.04025423728813559,-0.2550443906376109,0
RandomForest,platt,0.3,0.0047921711057304275,-0.2550443906376109,0
RandomForest,raw,0.4,-0.04625706214689265,-0.4642184557438795,0
RandomForest,platt,0.4,-0.0007062146892655367,-0.4642184557438795,0
RandomForest,raw,0.5,-0.04025423728813559,-0.7570621468926553,0
RandomForest,platt,0.5,-0.0035310734463276836,-0.7570621468926553,0
XGBoost,raw,0.05,0.07532337198929527,0.07523044900386561,0
XGBoost,platt,0.05,0.07993235206660719,0.07523044900386561,0
XGBoost,raw,0.1,0.0276993094789705,0.023854362837413698,0
XGBoost,platt,0.1,0.05229912115505336,0.023854362837413698,0
XGBoost,raw,0.138,-0.0054399832212565745,-0.01917757940409244,0
XGBoost,platt,0.138,0.0382830626450116,-0.01917757940409244,0
XGBoost,raw,0.2,-0.05676200564971751,-0.09816384180790959,0
XGBoost,platt,0.2,0.023040254237288137,-0.09816384180790959,0
XGBoost,raw,0.3,-0.12066182405165458,-0.2550443906376109,0
XGBoost,platt,0.3,0.0049435028248587575,-0.2550443906376109,0
XGBoost,raw,0.4,-0.16325329566854993,-0.4642184557438795,0
XGBoost,platt,0.4,0.001647834274952917,-0.4642184557438795,0
XGBoost,raw,0.5,-0.1716101694915254,-0.7570621468926553,0
XGBoost,platt,0.5,-0.00035310734463276836,-0.7570621468926553,0
