k,class,n,proportion,average_posterior_probability,occ,mean_r2cesd10,mean_r3cesd10,mean_r4cesd10
2,1,5067,0.5368153406081153,0.8762899955102327,6.111844268498686,4.718176435760805,4.29603315571344,4.922636668640221
2,2,4372,0.46318465939188475,0.9111163155303468,11.880166456729311,11.676349496797805,12.672232387923147,13.378316559926807
3,1,3955,0.4190062506621464,0.8861175971832046,10.78911190591019,4.105183312262958,3.468773704171934,3.9944374209860936
3,2,3955,0.4190062506621464,0.8041662645002845,5.693892982859746,8.703666245259166,9.060176991150442,10.275600505689
3,3,1529,0.16198749867570716,0.8657214974201696,33.35344597418429,15.890778286461739,18.06344015696534,17.655330281229563
4,1,3874,0.4104248331391037,0.8521358654395723,8.278498057559055,4.103252452245741,3.469024264326278,3.939081053175013
4,2,2145,0.22724864922131582,0.7222342483219171,8.841742134876656,10.205594405594406,10.854079254079254,6.565967365967366
4,3,1854,0.19641911219408836,0.7227787919835512,10.666570410622445,6.928263214670982,6.747033441208199,14.052319309600863
4,4,1566,0.1659074054454921,0.8509144411369349,28.69450982719839,15.53256704980843,17.84227330779055,17.902937420178798
5,1,2826,0.2993961224706007,0.8425061769484989,12.518028428922861,3.378273177636235,3.0962491153573954,2.805732484076433
5,2,2391,0.2533107320690751,0.7101852266859311,7.223329618652915,6.337097448766206,5.161856963613551,8.902551233793393
5,3,1813,0.19207543171946181,0.7039909164026239,10.003708169596756,10.319911748483177,11.912300055157198,6.564809707666851
5,4,1261,0.133594660451319,0.7004536794678298,15.165175874322745,9.851704996034893,9.516256938937351,16.808881839809676
5,5,1148,0.12162305328954338,0.8258694064610336,34.25321378406653,16.658536585365855,19.583623693379792,18.39721254355401
6,1,2513,0.26623583006674434,0.8298122390510048,13.438212676492988,3.0760047751691206,2.288897731794668,3.2204536410664546
6,2,2277,0.2412331814810891,0.6909445161518987,7.031986143410323,6.887132191480018,6.9310496267018005,5.136144049187528
6,3,1589,0.16834410424833138,0.700381695214308,11.548144357338085,6.4789175582127125,5.891126494650724,13.830081812460667
6,4,1486,0.15743193134865982,0.6736999205802784,11.049979942084168,11.994616419919247,12.625168236877524,8.44078061911171
6,5,847,0.08973408200021189,0.6714378291143728,20.72999057489748,10.139315230224321,16.585596221959857,18.63754427390791
6,6,727,0.07702087085496345,0.7873521627261546,44.37021269258995,20.40852819807428,18.52407152682256,18.349381017881704
