model_a,model_b,delta_auc,delta_auc_lo,delta_auc_hi,delong_p,delong_p_holm
Logistic,RandomForest,0.002383496133496199,-0.00809466051710206,0.013599539444517033,0.670452578049678,1.0
Logistic,XGBoost,0.0017081298331297345,-0.008710020720829747,0.012934485668861783,0.7598872949679818,1.0
RandomForest,XGBoost,-0.0006753663003664645,-0.009017516495076636,0.0075755414222135175,0.8716801413303854,1.0
