model,threshold,n_flagged,pct_flagged,sensitivity,ppv
Logistic,0.05,2033,71.7867231638418,0.9512820512820512,0.1824889326119036
Logistic,0.1,1332,47.03389830508475,0.8384615384615385,0.24549549549549549
Logistic,0.138,970,34.25141242937853,0.7282051282051282,0.2927835051546392
Logistic,0.2,641,22.63418079096045,0.5615384615384615,0.3416536661466459
Logistic,0.3,335,11.82909604519774,0.3641025641025641,0.42388059701492536
Logistic,0.4,185,6.5324858757062145,0.23846153846153847,0.5027027027027027
Logistic,0.5,102,3.6016949152542375,0.13846153846153847,0.5294117647058824
RandomForest,0.05,1997,70.51553672316385,0.9384615384615385,0.18327491236855284
RandomForest,0.1,1248,44.06779661016949,0.8153846153846154,0.2548076923076923
RandomForest,0.138,959,33.86299435028249,0.7384615384615385,0.30031282586027114
RandomForest,0.2,672,23.728813559322035,0.6102564102564103,0.3541666666666667
RandomForest,0.3,385,13.594632768361581,0.4076923076923077,0.412987012987013
RandomForest,0.4,223,7.874293785310734,0.2794871794871795,0.48878923766816146
RandomForest,0.5,103,3.637005649717514,0.1564102564102564,0.5922330097087378
XGBoost,0.05,1848,65.2542372881356,0.9307692307692308,0.19642857142857142
XGBoost,0.1,1276,45.05649717514124,0.8358974358974359,0.2554858934169279
XGBoost,0.138,1017,35.91101694915254,0.7589743589743589,0.2910521140609636
XGBoost,0.2,714,25.21186440677966,0.6410256410256411,0.35014005602240894
XGBoost,0.3,427,15.07768361581921,0.4461538461538462,0.40749414519906324
XGBoost,0.4,226,7.980225988700565,0.2794871794871795,0.4823008849557522
XGBoost,0.5,86,3.036723163841808,0.1282051282051282,0.5813953488372093
