feature,mean_abs_shap
r1arthre,0.30372414
r1shlt,0.2398165
ragender,0.21622738
r1ser7,0.14734656
r1walk1kma,0.124440685
hh1ahous,0.1124871
r1adla_c,0.10001238
r1orient,0.099042386
raeduc_c,0.091336265
r1tr20,0.09023963
h1rural,0.07124199
r1socwk,0.057835203
r1mbmi,0.057828117
r1gripsum,0.05750219
r1agey,0.038634073
r1hearte,0.03850684
r1mstat_7.0,0.019284517
r1lunge,0.017879605
r1work,0.007759106
r1hibpe,0.005531112
r1smoken,0.005141373
r1dyslipe,0.0015225625
r1drinkev,0.00079445395
r1diabe,0.00062339014
r1mstat_3.0,0.00060535106
r1stroke,0.0005355186
r1mbmi_miss,0.00041767218
r1cancre,0.00025304183
r1gripsum_miss,0.00019014918
r1mstat_5.0,5.6824847e-05
r1walk100a,3.5018336e-05
r1mstat_4.0,3.445746e-05
r1mstat_8.0,2.8725883e-05
