k,bic,aic,relative_entropy,adequate
2,173231.6003262686,173095.70082516343,0.6268924669955545,True
3,172586.29011652037,172378.86456220195,0.6652342160971569,True
4,172294.9678440405,172016.01623650885,0.6230078189935235,True
5,172147.544822804,171797.06716205907,0.6324190519388365,True
6,172004.0391550302,171582.03544107202,0.6207481014395406,False
