fold,model,auc,sensitivity,specificity,f1,brier
1,Logistic,0.7595040095040095,0.6608391608391608,0.724903474903475,0.49736842105263157,0.19473906462605853
1,RandomForest,0.7541175041175041,0.506993006993007,0.8513513513513513,0.49572649572649574,0.1640617756409258
1,XGBoost,0.7590483840483839,0.6293706293706294,0.7557915057915058,0.5006954102920723,0.19144609570503235
2,Logistic,0.7256459756459757,0.6223776223776224,0.6998069498069498,0.4593548387096774,0.20404553933046438
2,RandomForest,0.7279274779274779,0.44755244755244755,0.8407335907335908,0.4421416234887737,0.17055778087910878
2,XGBoost,0.7300942300942301,0.5874125874125874,0.7297297297297297,0.45776566757493187,0.19874972105026245
3,Logistic,0.7484983615418399,0.7027972027972028,0.663768115942029,0.481437125748503,0.20919438609725857
3,RandomForest,0.7521637782507348,0.5,0.8434782608695652,0.48392554991539766,0.1684613294662699
3,XGBoost,0.7585250498293976,0.7062937062937062,0.7014492753623188,0.506900878293601,0.19901013374328613
4,Logistic,0.7705786966656532,0.7027972027972028,0.6946859903381642,0.5006226650062267,0.194721985982179
4,RandomForest,0.7623560014864363,0.527972027972028,0.8463768115942029,0.5067114093959731,0.16363479729242805
4,XGBoost,0.7739400695922434,0.6678321678321678,0.714975845410628,0.4948186528497409,0.19181287288665771
5,Logistic,0.7804330934765716,0.7062937062937062,0.7159420289855073,0.5166240409207161,0.19264032352824645
5,RandomForest,0.7744164048511875,0.5244755244755245,0.842512077294686,0.5008347245409015,0.16092181310662262
5,XGBoost,0.7820174994088037,0.7307692307692307,0.7178743961352657,0.531130876747141,0.18957161903381348
