model_a,model_b,delta_auc,delta_auc_lo,delta_auc_hi,delong_p,delong_p_holm
Logistic,RandomForest,0.0038850287073272094,-0.0043868907569678565,0.011925889765351876,0.36721923146703483,0.5785602360199062
Logistic,XGBoost,-0.0038442083965605223,-0.011371371388283202,0.002981933805995206,0.2892801180099531,0.5785602360199062
RandomForest,XGBoost,-0.007729237103887732,-0.012665238415816927,-0.002939196546417417,0.0018960012121898018,0.005688003636569405
