model,auc,sensitivity,specificity,f1,brier
Logistic,0.75693202736681,0.679020979020979,0.699821311995225,0.491081418287551,0.19906825991284138
RandomForest,0.7541962333266682,0.5013986013986014,0.8448904183686793,0.4858679606135084,0.16552749927707103
XGBoost,0.7607250465946118,0.6643356643356644,0.7239641504858896,0.49826229715149745,0.19411808848381043
