model,threshold,n_flagged,pct_flagged,sensitivity,ppv
Logistic,0.05,2047,72.28107344632768,0.9302325581395349,0.15632633121641426
Logistic,0.1,1200,42.3728813559322,0.7412790697674418,0.2125
Logistic,0.138,829,29.2725988700565,0.6162790697674418,0.255729794933655
Logistic,0.2,465,16.41949152542373,0.4069767441860465,0.3010752688172043
Logistic,0.3,181,6.391242937853107,0.18023255813953487,0.3425414364640884
Logistic,0.4,79,2.7895480225988702,0.09011627906976744,0.3924050632911392
Logistic,0.5,28,0.9887005649717515,0.05232558139534884,0.6428571428571429
RandomForest,0.05,2034,71.82203389830508,0.9186046511627907,0.1553588987217306
RandomForest,0.1,1141,40.28954802259887,0.7093023255813954,0.21384750219106047
RandomForest,0.138,785,27.71892655367232,0.5755813953488372,0.2522292993630573
RandomForest,0.2,482,17.019774011299436,0.4127906976744186,0.2946058091286307
RandomForest,0.3,225,7.944915254237288,0.2238372093023256,0.3422222222222222
RandomForest,0.4,98,3.4604519774011298,0.11046511627906977,0.3877551020408163
RandomForest,0.5,32,1.1299435028248588,0.03197674418604651,0.34375
XGBoost,0.05,1879,66.34887005649718,0.8982558139534884,0.16444917509313464
XGBoost,0.1,1197,42.266949152542374,0.7354651162790697,0.21136173767752714
XGBoost,0.138,888,31.35593220338983,0.627906976744186,0.24324324324324326
XGBoost,0.2,534,18.85593220338983,0.4622093023255814,0.29775280898876405
XGBoost,0.3,244,8.615819209039548,0.24127906976744187,0.3401639344262295
XGBoost,0.4,73,2.577683615819209,0.09302325581395349,0.4383561643835616
XGBoost,0.5,5,0.1765536723163842,0.005813953488372093,0.4
