model,auc,true_negative,false_positive,false_negative,true_positive,sensitivity,specificity
Logistic,0.7913196413196414,1773,669,109,281,0.7205128205128205,0.726044226044226
RandomForest,0.7946208446208447,2153,289,208,182,0.4666666666666667,0.8816543816543817
XGBoost,0.8024958524958525,1777,665,104,286,0.7333333333333333,0.7276822276822277
