model,auc,sensitivity,specificity,f1,brier
Logistic,0.7939168971012217,0.7124121779859485,0.723317468385626,0.41399412899234045,0.1848919573789952
RandomForest,0.7892420195770734,0.4468143877979943,0.8960685735409639,0.42602828927902303,0.12667480563471095
XGBoost,0.7923557751948345,0.7047558998378671,0.7313931888544891,0.41673397400844986,0.17816762030124664
