model,auc,auc_lo,auc_hi,pr_auc,pr_auc_lo,pr_auc_hi,brier_raw_lo,brier_raw_hi,brier_calibrated_lo,brier_calibrated_hi,precision_ppv,recall_sensitivity,specificity,f1,npv,brier_raw,calibration_slope_raw,calibration_intercept_raw,auc_calibrated,brier_calibrated,calibration_slope_calibrated,calibration_intercept_calibrated
Logistic,0.7553526371991351,0.7360124128899034,0.7739622109376516,0.5725696668949004,0.5386487920283731,0.609469351406779,0.1982733344195659,0.21081125109101068,0.16733836287474793,0.18099728567286855,0.4769108280254777,0.7005847953216374,0.6676783004552352,0.5675035528185693,0.8375634517766497,0.2044453805391313,1.04933176026449,-0.8761433499431288,0.7555591051477961,0.17407252860388228,1.125854381424045,-0.03794536706810263
RandomForest,0.7514676084918078,0.7318879035456975,0.7717672707697716,0.5642401653667724,0.5297179291356928,0.6012903217091802,0.18367386783426923,0.1944456875486346,0.16784780974991986,0.18121553386620726,0.5308775731310943,0.5730994152046783,0.7809812847749115,0.5511811023622047,0.8088004190675746,0.18887581747121499,1.278744597012911,-0.5692535988443482,0.753803240186117,0.17438201185119015,1.1672278726711613,-0.031609628331437996
XGBoost,0.7591968455956956,0.740129230926775,0.7786073037116743,0.5829772216205203,0.5492719921306738,0.6203756356072219,0.19683959521353245,0.20803865380585193,0.1658785609891364,0.17964105588098903,0.4805091487669053,0.7064327485380117,0.6697015680323722,0.571969696969697,0.8406349206349206,0.20241352915763855,1.2756827523611634,-0.8304568448158937,0.7596364034348221,0.17248907537374927,1.1671038603488517,-0.031094739917173826
