model,auc,sensitivity,specificity,f1,brier
Logistic,0.7353143549809723,0.6703483709273182,0.6731741021802431,0.5527816067736276,0.2081509807498302
RandomForest,0.7290354979959234,0.5415927318295739,0.7835632181206713,0.5305298795606364,0.19376680783668526
XGBoost,0.7347941770149233,0.6603195488721805,0.6807625328141047,0.5506076452076393,0.20683583319187165
