sex,train_n,test_n,scale_pos_weight,auc_raw,auc_lo,auc_hi,auc_calibrated,auc_calibrated_lo,auc_calibrated_hi,brier_raw,brier_calibrated,top_five_shap,top_five_shap_values
Male,3091,1281,10.6203007518797,0.7871267668221982,0.739255516897606,0.8324480306911304,0.7885368063033037,0.7405810518493233,0.8320795759805665,0.15687094628810883,0.0631677097644042,r1shlt; r1arthre; hh1ahous; r1mbmi; r1orient,r1shlt (0.459); r1arthre (0.330); hh1ahous (0.187); r1mbmi (0.186); r1orient (0.175)
Female,3516,1551,4.4511627906976745,0.7751159111983855,0.7461061765675995,0.8032723416708394,0.7755386461572028,0.7469720368850178,0.8036519073227335,0.19225667417049408,0.1285766792821625,r1arthre; r1shlt; r1adla_c; hh1ahous; r1orient,r1arthre (0.276); r1shlt (0.248); r1adla_c (0.172); hh1ahous (0.172); r1orient (0.164)
