model,auc,sensitivity,specificity,f1,brier
Logistic,0.7629303378487944,0.6865217391304348,0.7005003118595741,0.356621464762946,0.19669882108571782
RandomForest,0.7538113049418443,0.31715838509316774,0.9184914906887641,0.3330723765914261,0.12387581132599097
XGBoost,0.7605158262046533,0.677833850931677,0.707908461789777,0.3579392713228559,0.1877054065465927
