model,probability,threshold,net_benefit,treat_all,treat_none
Logistic,raw,0.05,0.26527653880463875,0.2651650312221231,0
Logistic,platt,0.05,0.26522078501338087,0.2651650312221231,0
Logistic,raw,0.1,0.22516478342749527,0.2243408662900188,0
Logistic,platt,0.1,0.22791117388575016,0.2243408662900188,0
Logistic,raw,0.138,0.19395014878026398,0.19014707617287346,0
Logistic,platt,0.138,0.2015882457037241,0.19014707617287346,0
Logistic,raw,0.2,0.1451271186440678,0.12738347457627114,0
Logistic,platt,0.2,0.1652542372881356,0.12738347457627114,0
Logistic,raw,0.3,0.07733050847457627,0.0027239709443098725,0
Logistic,platt,0.3,0.11183414043583535,0.0027239709443098725,0
Logistic,raw,0.4,0.02271657250470807,-0.1634887005649719,0
Logistic,platt,0.4,0.07462335216572503,-0.1634887005649719,0
Logistic,raw,0.5,-0.020480225988700564,-0.3961864406779662,0
Logistic,platt,0.5,0.05190677966101695,-0.3961864406779662,0
RandomForest,raw,0.05,0.2652951234017246,0.2651650312221231,0
RandomForest,platt,0.05,0.2651650312221231,0.2651650312221231,0
RandomForest,raw,0.1,0.22594946641556812,0.2243408662900188,0
RandomForest,platt,0.1,0.22912743251726303,0.2243408662900188,0
RandomForest,raw,0.138,0.19516513298465007,0.19014707617287346,0
RandomForest,platt,0.138,0.20236491800699988,0.19014707617287346,0
RandomForest,raw,0.2,0.14777542372881355,0.12738347457627114,0
RandomForest,platt,0.2,0.16675494350282485,0.12738347457627114,0
RandomForest,raw,0.3,0.08686440677966102,0.0027239709443098725,0
RandomForest,platt,0.3,0.11006860371267149,0.0027239709443098725,0
RandomForest,raw,0.4,0.04225517890772127,-0.1634887005649719,0
RandomForest,platt,0.4,0.07262241054613934,-0.1634887005649719,0
RandomForest,raw,0.5,0.020127118644067795,-0.3961864406779662,0
RandomForest,platt,0.5,0.05296610169491525,-0.3961864406779662,0
XGBoost,raw,0.05,0.2651650312221231,0.2651650312221231,0
XGBoost,platt,0.05,0.265202200416295,0.2651650312221231,0
XGBoost,raw,0.1,0.22477244193345888,0.2243408662900188,0
XGBoost,platt,0.1,0.22948053986189582,0.2243408662900188,0
XGBoost,raw,0.138,0.19260653846658018,0.19014707617287346,0
XGBoost,platt,0.138,0.20394939504764897,0.19014707617287346,0
XGBoost,raw,0.2,0.14009533898305085,0.12738347457627114,0
XGBoost,platt,0.2,0.16481285310734464,0.12738347457627114,0
XGBoost,raw,0.3,0.06774616626311539,0.0027239709443098725,0
XGBoost,platt,0.3,0.11390234059725585,0.0027239709443098725,0
XGBoost,raw,0.4,0.01730225988700565,-0.1634887005649719,0
XGBoost,platt,0.4,0.07721280602636535,-0.1634887005649719,0
XGBoost,raw,0.5,-0.01730225988700565,-0.3961864406779662,0
XGBoost,platt,0.5,0.05755649717514124,-0.3961864406779662,0
