model,auc,auc_lo,auc_hi,pr_auc,pr_auc_lo,pr_auc_hi,brier_raw_lo,brier_raw_hi,brier_calibrated_lo,brier_calibrated_hi,precision_ppv,recall_sensitivity,specificity,f1,npv,brier_raw,calibration_slope_raw,calibration_intercept_raw,auc_calibrated,brier_calibrated,calibration_slope_calibrated,calibration_intercept_calibrated
Logistic,0.7725104337668085,0.7517003042251139,0.7916614891809672,0.49337901851251786,0.45380587045199205,0.537594134572996,0.1878042475282544,0.20132170162713164,0.13263561235039456,0.14867895646535564,0.39158878504672895,0.6835236541598695,0.7066246056782335,0.4979203802733215,0.8898978433598184,0.19411521040601284,1.0341974243189593,-1.276243984160039,0.7726177672143368,0.14072938383973485,1.1116381068988177,0.00944882968188418
RandomForest,0.7621182035321524,0.7396598627036097,0.7818885997529138,0.4841587289371997,0.4437706983984109,0.5264575685839189,0.1567363974945957,0.1684961352722266,0.13424951024492665,0.15034020187975258,0.4556390977443609,0.49429037520391517,0.8368634520054078,0.47417840375586856,0.8569450853714813,0.16248916750937534,1.1844715657046454,-0.7895440887751128,0.7649706266582468,0.14218408897123228,1.0673654325278856,0.012218542847056542
XGBoost,0.7696885198055942,0.7477335077783303,0.7891240155621437,0.49797003295652276,0.45735934906486153,0.5411290827437986,0.18592950664460658,0.19814480021595954,0.1329015380520769,0.14854960317539243,0.39571150097465885,0.6623164763458401,0.7205948625506985,0.49542403904820015,0.8853820598006644,0.19174624979496002,1.1916935019518569,-1.2106451939481757,0.7715289943664643,0.14072628506054677,1.0626048686256615,0.0038145009263359647
