model,auc,auc_lo,auc_hi,pr_auc,pr_auc_lo,pr_auc_hi,brier_raw_lo,brier_raw_hi,brier_calibrated_lo,brier_calibrated_hi,precision_ppv,recall_sensitivity,specificity,f1,npv,brier_raw,calibration_slope_raw,calibration_intercept_raw,auc_calibrated,brier_calibrated,calibration_slope_calibrated,calibration_intercept_calibrated
Logistic,0.7452936887758916,0.7195446731374253,0.7717448928668746,0.28959179001788754,0.24948334407604456,0.3389019871260067,0.1881709734816006,0.20183895303610208,0.08922776165249326,0.10537896505513172,0.24197002141327623,0.6569767441860465,0.7154340836012861,0.3536776212832551,0.9378292939936775,0.19495560439637313,0.7963395893606675,-1.950330063820603,0.7454187074702759,0.09747473907502388,0.9425784447239678,0.03738814333389746
RandomForest,0.7365797689374112,0.7101594817196031,0.7633177091348329,0.2764639866097888,0.23863371778789244,0.32181995534049757,0.12044869735127281,0.1316949599145425,0.09031267484233499,0.10682254757999006,0.32075471698113206,0.29651162790697677,0.9131832797427653,0.3081570996978852,0.903739061256961,0.12609643595033487,0.9542978715991357,-1.1238210796955048,0.7340466798773648,0.09857701520128413,0.8966315569592714,0.016257163024172374
XGBoost,0.7407567954086591,0.7154018877182202,0.7675553391484149,0.2833569526555469,0.2459636747083881,0.33136674578573544,0.1839825466275215,0.19602281302213667,0.0891418249040303,0.10519255012949934,0.2398286937901499,0.6511627906976745,0.7146302250803859,0.350547730829421,0.9367755532139094,0.18994979560375214,0.9606847110070162,-1.842772072808763,0.7419357100127122,0.09721083676424175,0.9121180437904463,0.021301550472830243
