model_a,model_b,delta_auc,delta_auc_lo,delta_auc_hi,delong_p,delong_p_holm
Logistic,RandomForest,0.010392230234655853,0.0004924836026747703,0.02045243330354841,0.04341737677320778,0.08683475354641557
Logistic,XGBoost,0.0028219139612143396,-0.005193385872165984,0.011236353691773036,0.4873819475842649,0.4873819475842649
RandomForest,XGBoost,-0.007570316273441513,-0.013384561376348938,-0.0020810281200010425,0.008471068599677611,0.025413205799032834
