model_a,model_b,delta_auc,delta_auc_lo,delta_auc_hi,delong_p,delong_p_holm
Logistic,RandomForest,-0.003301203301203315,-0.014123021576679707,0.006652208701594525,0.546984818133089,0.546984818133089
Logistic,XGBoost,-0.011176211176211037,-0.020667256111005075,-0.0015632980854178645,0.02214666862045145,0.058119538153258876
RandomForest,XGBoost,-0.007875007875007722,-0.014446569684049924,-0.0017427806027433207,0.019373179384419625,0.058119538153258876
