model,probability,threshold,net_benefit,treat_all,treat_none
Logistic,raw,0.05,0.0660496580434136,0.06333630686886707,0
Logistic,platt,0.05,0.07327906630984239,0.06333630686886707,0
Logistic,raw,0.1,0.02361895794099184,0.011299435028248594,0
Logistic,platt,0.1,0.05790960451977401,0.011299435028248594,0
Logistic,raw,0.138,-0.004866491014196399,-0.03228597270832516,0
Logistic,platt,0.138,0.04276531388047766,-0.03228597270832516,0
Logistic,raw,0.2,-0.04758121468926554,-0.11228813559322033,0
Logistic,platt,0.2,0.025423728813559324,-0.11228813559322033,0
Logistic,raw,0.3,-0.09448143664245359,-0.2711864406779661,0
Logistic,platt,0.3,0.010341000807102502,-0.2711864406779661,0
Logistic,raw,0.4,-0.13276836158192096,-0.4830508474576271,0
Logistic,platt,0.4,0.003531073446327681,-0.4830508474576271,0
Logistic,raw,0.5,-0.15360169491525424,-0.7796610169491525,0
Logistic,platt,0.5,0.0007062146892655367,-0.7796610169491525,0
RandomForest,raw,0.05,0.06855857865001486,0.06333630686886707,0
RandomForest,platt,0.05,0.07324189711567053,0.06333630686886707,0
RandomForest,raw,0.1,0.033702134337727556,0.011299435028248594,0
RandomForest,platt,0.1,0.054182360326428126,0.011299435028248594,0
RandomForest,raw,0.138,0.013169019623264775,-0.03228597270832516,0
RandomForest,platt,0.138,0.040930138817885084,-0.03228597270832516,0
RandomForest,raw,0.2,-0.009445621468926553,-0.11228813559322033,0
RandomForest,platt,0.2,0.02992584745762712,-0.11228813559322033,0
RandomForest,raw,0.3,-0.024112187247780484,-0.2711864406779661,0
RandomForest,platt,0.3,0.016495157384987892,-0.2711864406779661,0
RandomForest,raw,0.4,-0.03201506591337103,-0.4830508474576271,0
RandomForest,platt,0.4,0.0034133709981167574,-0.4830508474576271,0
RandomForest,raw,0.5,-0.03283898305084746,-0.7796610169491525,0
RandomForest,platt,0.5,-0.0014124293785310734,-0.7796610169491525,0
XGBoost,raw,0.05,0.06486024382991376,0.06333630686886707,0
XGBoost,platt,0.05,0.07357641986321736,0.06333630686886707,0
XGBoost,raw,0.1,0.023697426239799122,0.011299435028248594,0
XGBoost,platt,0.1,0.05371155053358442,0.011299435028248594,0
XGBoost,raw,0.138,-0.00611096910351699,-0.03228597270832516,0
XGBoost,platt,0.138,0.042975867447926905,-0.03228597270832516,0
XGBoost,raw,0.2,-0.050052966101694914,-0.11228813559322033,0
XGBoost,platt,0.2,0.02701271186440678,-0.11228813559322033,0
XGBoost,raw,0.3,-0.10578087167070217,-0.2711864406779661,0
XGBoost,platt,0.3,0.01472962066182405,-0.2711864406779661,0
XGBoost,raw,0.4,-0.14230225988700565,-0.4830508474576271,0
XGBoost,platt,0.4,0.00765065913370998,-0.4830508474576271,0
XGBoost,raw,0.5,-0.1518361581920904,-0.7796610169491525,0
XGBoost,platt,0.5,0.0014124293785310734,-0.7796610169491525,0
