panel,model,probability,decile,mean_predicted,observed_fraction,threshold,net_benefit_raw,net_benefit_platt,treat_all,treat_none
b_decision_curve,Logistic,,,,,0.13,0.02832164426261445,0.0634253847652445,0.008864211961815693,0.0
b_decision_curve,Logistic,,,,,0.14,0.02123571147024041,0.06100545263434502,-0.0026606227828143703,0.0
b_decision_curve,Logistic,,,,,0.15,0.01483050847457625,0.056019441674975065,-0.01445663010967102,0.0
b_decision_curve,Logistic,,,,,0.16,0.008356873822975504,0.0532183212267958,-0.026533494753833764,0.0
b_decision_curve,Logistic,,,,,0.17,0.001403920767817007,0.04887771424681778,-0.03890136818460285,0.0
b_decision_curve,Logistic,,,,,0.18,-0.00596837536171975,0.045395824720959065,-0.05157089706490292,0.0
b_decision_curve,Logistic,,,,,0.19,-0.011704854572086212,0.04336245379089071,-0.06455325381879054,0.0
b_decision_curve,Logistic,,,,,0.2,-0.01844985875706215,0.04007768361581921,-0.07786016949152547,0.0
b_decision_curve,Logistic,,,,,0.21,-0.025070621468926572,0.03836801830794536,-0.09150396910534223,0.0
b_decision_curve,Logistic,,,,,0.22,-0.032196146602926266,0.03772816166883963,-0.10549760973489788,0.0
b_decision_curve,Logistic,,,,,0.23,-0.03807597769462179,0.03454031843862352,-0.1198547215496368,0.0
b_decision_curve,Logistic,,,,,0.24,-0.043710972346119537,0.03374962830805828,-0.13458965209634258,0.0
b_decision_curve,Logistic,,,,,0.25,-0.04955273069679849,0.03213276836158192,-0.14971751412429382,0.0
b_decision_curve,Logistic,,,,,0.26,-0.05453122614139566,0.02837265231333028,-0.16525423728813562,0.0
b_decision_curve,Logistic,,,,,0.27,-0.06143100379227616,0.02788580605216314,-0.1812166241003019,0.0
b_decision_curve,Logistic,,,,,0.28,-0.0674435028248588,0.024874450721908345,-0.1976224105461394,0.0
b_decision_curve,Logistic,,,,,0.29,-0.07264064613670729,0.02389691254873875,-0.2144903318214372,0.0
b_decision_curve,Logistic,,,,,0.3,-0.07743139628732851,0.02093422114608555,-0.2318401937046005,0.0
b_decision_curve,Logistic,,,,,0.31,-0.08148591664619673,0.019272496520101528,-0.24969295013510193,0.0
b_decision_curve,Logistic,,,,,0.32,-0.08738368228647392,0.019317048853439676,-0.2680707876370888,0.0
b_decision_curve,Logistic,,,,,0.33,-0.09368939202293618,0.019621173792056662,-0.28699721730331407,0.0
b_decision_curve,Logistic,,,,,0.34,-0.09766093134737204,0.019067796610169486,-0.3064971751412431,0.0
b_decision_curve,Logistic,,,,,0.35,-0.10001086484137338,0.01825293350717079,-0.32659713168187754,0.0
b_decision_curve,Logistic,,,,,0.36,-0.10317355225988704,0.017567090395480222,-0.347325211864407,0.0
b_decision_curve,Logistic,,,,,0.37,-0.1047271545152901,0.016237332974621113,-0.36871132633844506,0.0
b_decision_curve,Logistic,,,,,0.38,-0.10768634955349007,0.014568525605977763,-0.3907873154729361,0.0
b_decision_curve,Logistic,,,,,0.39,-0.10941696767620637,0.011774103917754932,-0.4135871075298695,0.0
b_decision_curve,Logistic,,,,,0.4,-0.11440677966101699,0.011181732580037662,-0.43714689265536744,0.0
b_decision_curve,Logistic,,,,,0.41,-0.11784808005362446,0.010569280857990998,-0.4615053145647804,0.0
b_decision_curve,Logistic,,,,,0.42,-0.1182300798753166,0.0097530683810637,-0.48670368205727665,0.0
b_decision_curve,Logistic,,,,,0.43,-0.12095475270096141,0.008796709287342651,-0.5127862027951233,0.0
b_decision_curve,Logistic,,,,,0.44,-0.12459644874899109,0.00834846650524617,-0.5398002421307506,0.0
b_decision_curve,Logistic,,,,,0.45,-0.12336286594761167,0.006388032871083722,-0.5677966101694916,0.0
b_decision_curve,Logistic,,,,,0.46,-0.12604624398409708,0.006473634651600754,-0.5968298807281859,0.0
b_decision_curve,Logistic,,,,,0.47,-0.12806470525530328,0.005809615179618377,-0.6269587464023025,0.0
b_decision_curve,Logistic,,,,,0.48,-0.13105714906562366,0.004671881790525857,-0.6582464146023469,0.0
b_decision_curve,Logistic,,,,,0.49,-0.13413232524648278,0.0031779661016949176,-0.690761050182785,0.0
b_decision_curve,Logistic,,,,,0.5,-0.1370056497175141,0.00211864406779661,-0.7245762711864407,0.0
b_decision_curve,Logistic,,,,,0.51,-0.1421653407125562,0.0021762942465121636,-0.7597717052922864,0.0
b_decision_curve,Logistic,,,,,0.52,-0.14642184557438792,0.002677730696798492,-0.7964336158192091,0.0
b_decision_curve,Logistic,,,,,0.53,-0.14702037504507756,0.0033207116239932664,-0.8346556076451499,0.0
b_decision_curve,Logistic,,,,,0.54,-0.14755281257676253,0.002855563743551951,-0.874539425202653,0.0
b_decision_curve,Logistic,,,,,0.55,-0.15077683615819212,0.004080351537978655,-0.9161958568738233,0.0
b_decision_curve,Logistic,,,,,0.56,-0.1568117616846431,0.0038520801232665605,-0.9597457627118646,0.0
b_decision_curve,Logistic,,,,,0.57,-0.15700959138089615,0.004532912889239257,-1.005321245565629,0.0
b_decision_curve,Logistic,,,,,0.58,-0.15782216841538885,0.0038841807909604496,-1.0530669895076679,0.0
b_decision_curve,Logistic,,,,,0.59,-0.16112029764365435,0.003410500206696984,-1.1031417941298058,0.0
b_decision_curve,RandomForest,,,,,0.01,0.12901971694344577,0.12900188323917136,0.12900188323917136,0.0
b_decision_curve,RandomForest,,,,,0.02,0.12031592297936124,0.12011414735385681,0.12011414735385678,0.0
b_decision_curve,RandomForest,,,,,0.03,0.11187314345622924,0.11343482439280096,0.11104315918224707,0.0
b_decision_curve,RandomForest,,,,,0.04,0.10348987758945385,0.10519656308851223,0.10178319209039546,0.0
b_decision_curve,RandomForest,,,,,0.05,0.09548765982753495,0.09892581028843293,0.09232827832292595,0.0
b_decision_curve,RandomForest,,,,,0.06,0.0873001562687823,0.09212345233802138,0.08267219617742516,0.0
b_decision_curve,RandomForest,,,,,0.07,0.0796503857602819,0.0884135228722435,0.07280845635137598,0.0
b_decision_curve,RandomForest,,,,,0.08,0.0722641857037583,0.08483787767133381,0.06273028739867353,0.0
b_decision_curve,RandomForest,,,,,0.09,0.06456043956043957,0.07959660396101075,0.052430620227230385,0.0
b_decision_curve,RandomForest,,,,,0.1,0.05708568738229757,0.07580037664783427,0.041902071563088505,0.0
b_decision_curve,RandomForest,,,,,0.11,0.05016108042912461,0.07294245540531963,0.031136926299752413,0.0
b_decision_curve,RandomForest,,,,,0.12,0.04418656908063688,0.0681176168464304,0.020127118644067785,0.0
b_decision_curve,RandomForest,,,,,0.13,0.0379326579648029,0.06492304695110072,0.008864211961815693,0.0
b_decision_curve,RandomForest,,,,,0.14,0.03131158849034291,0.06310767310471686,-0.0026606227828143703,0.0
b_decision_curve,RandomForest,,,,,0.15,0.026233798604187425,0.05886507145230973,-0.01445663010967102,0.0
b_decision_curve,RandomForest,,,,,0.16,0.021875840731772938,0.05479889695991391,-0.026533494753833764,0.0
b_decision_curve,RandomForest,,,,,0.17,0.017034238649513287,0.05313201960383908,-0.03890136818460285,0.0
b_decision_curve,RandomForest,,,,,0.18,0.0121951219512195,0.04979674796747967,-0.05157089706490292,0.0
b_decision_curve,RandomForest,,,,,0.19,0.006761351747227455,0.04714636953337519,-0.06455325381879054,0.0
b_decision_curve,RandomForest,,,,,0.2,0.0030896892655367233,0.0457274011299435,-0.07786016949152547,0.0
b_decision_curve,RandomForest,,,,,0.21,-0.0007866695272831437,0.04364674962454409,-0.09150396910534223,0.0
b_decision_curve,RandomForest,,,,,0.22,-0.002725264377806735,0.03893234825438215,-0.10549760973489788,0.0
b_decision_curve,RandomForest,,,,,0.23,-0.0060532687651331804,0.03727804681194511,-0.1198547215496368,0.0
b_decision_curve,RandomForest,,,,,0.24,-0.008920606601248878,0.03571959559916741,-0.13458965209634258,0.0
b_decision_curve,RandomForest,,,,,0.25,-0.011770244821092271,0.031191148775894538,-0.14971751412429382,0.0
b_decision_curve,RandomForest,,,,,0.26,-0.013494426630019863,0.0284394564055581,-0.16525423728813562,0.0
b_decision_curve,RandomForest,,,,,0.27,-0.01623326367928179,0.026376634935376515,-0.1812166241003019,0.0
b_decision_curve,RandomForest,,,,,0.28,-0.015713276836158214,0.024697897049591966,-0.1976224105461394,0.0
b_decision_curve,RandomForest,,,,,0.29,-0.01788414100421742,0.025060674783162245,-0.2144903318214372,0.0
b_decision_curve,RandomForest,,,,,0.3,-0.01871468926553674,0.021943099273607748,-0.2318401937046005,0.0
b_decision_curve,RandomForest,,,,,0.31,-0.020833333333333353,0.01901662163268648,-0.24969295013510193,0.0
b_decision_curve,RandomForest,,,,,0.32,-0.023533565968760398,0.019171651711532067,-0.2680707876370888,0.0
b_decision_curve,RandomForest,,,,,0.33,-0.0250179188801754,0.019025634539168557,-0.28699721730331407,0.0
b_decision_curve,RandomForest,,,,,0.34,-0.02790618044855336,0.016884951206985098,-0.3064971751412431,0.0
b_decision_curve,RandomForest,,,,,0.35,-0.030638852672751,0.016107127335940885,-0.32659713168187754,0.0
