model_a,model_b,delta_auc,delta_auc_lo,delta_auc_hi,delong_p,delong_p_holm
Logistic,RandomForest,0.008713919838480577,-0.002757476974936218,0.02067159033298545,0.14511601953977094,0.4353480586193128
Logistic,XGBoost,0.0045368933672325085,-0.004336628850637938,0.014418383418376797,0.3499926146659089,0.6325521342057625
RandomForest,XGBoost,-0.004177026471248069,-0.012279259901311707,0.00416042784111656,0.31627606710288125,0.6325521342057625
