model,auc,fpr,tpr
Logistic,0.7913196413196414,0.0,0.0
Logistic,0.7913196413196414,0.0004095004095004095,0.002564102564102564
Logistic,0.7913196413196414,0.000819000819000819,0.005128205128205128
Logistic,0.7913196413196414,0.0012285012285012285,0.017948717948717947
Logistic,0.7913196413196414,0.0020475020475020475,0.03076923076923077
Logistic,0.7913196413196414,0.0028665028665028664,0.035897435897435895
Logistic,0.7913196413196414,0.0045045045045045045,0.04358974358974359
Logistic,0.7913196413196414,0.005323505323505323,0.04871794871794872
Logistic,0.7913196413196414,0.005733005733005733,0.05384615384615385
Logistic,0.7913196413196414,0.006552006552006552,0.05641025641025641
Logistic,0.7913196413196414,0.006961506961506962,0.05897435897435897
Logistic,0.7913196413196414,0.007371007371007371,0.06666666666666667
Logistic,0.7913196413196414,0.007780507780507781,0.09230769230769231
Logistic,0.7913196413196414,0.00819000819000819,0.09743589743589744
Logistic,0.7913196413196414,0.009009009009009009,0.1076923076923077
Logistic,0.7913196413196414,0.010647010647010647,0.11538461538461539
Logistic,0.7913196413196414,0.011466011466011465,0.11794871794871795
Logistic,0.7913196413196414,0.014742014742014743,0.12307692307692308
Logistic,0.7913196413196414,0.015561015561015561,0.1282051282051282
Logistic,0.7913196413196414,0.01760851760851761,0.13076923076923078
Logistic,0.7913196413196414,0.018837018837018837,0.13333333333333333
Logistic,0.7913196413196414,0.019246519246519246,0.1358974358974359
Logistic,0.7913196413196414,0.020065520065520065,0.14102564102564102
Logistic,0.7913196413196414,0.020884520884520884,0.14615384615384616
Logistic,0.7913196413196414,0.021294021294021293,0.1564102564102564
Logistic,0.7913196413196414,0.021703521703521703,0.15897435897435896
Logistic,0.7913196413196414,0.022113022113022112,0.16153846153846155
Logistic,0.7913196413196414,0.02252252252252252,0.1641025641025641
Logistic,0.7913196413196414,0.02293202293202293,0.1717948717948718
Logistic,0.7913196413196414,0.02416052416052416,0.17435897435897435
Logistic,0.7913196413196414,0.02457002457002457,0.17692307692307693
Logistic,0.7913196413196414,0.025389025389025387,0.18205128205128204
Logistic,0.7913196413196414,0.02661752661752662,0.18461538461538463
Logistic,0.7913196413196414,0.027436527436527438,0.18974358974358974
Logistic,0.7913196413196414,0.028255528255528257,0.19230769230769232
Logistic,0.7913196413196414,0.028665028665028666,0.19487179487179487
Logistic,0.7913196413196414,0.029893529893529894,0.19743589743589743
Logistic,0.7913196413196414,0.030712530712530713,0.20256410256410257
Logistic,0.7913196413196414,0.031122031122031123,0.2076923076923077
Logistic,0.7913196413196414,0.03194103194103194,0.2153846153846154
Logistic,0.7913196413196414,0.03276003276003276,0.21794871794871795
Logistic,0.7913196413196414,0.033169533169533166,0.2205128205128205
Logistic,0.7913196413196414,0.03357903357903358,0.2230769230769231
Logistic,0.7913196413196414,0.033988533988533985,0.22564102564102564
Logistic,0.7913196413196414,0.03562653562653563,0.2282051282051282
Logistic,0.7913196413196414,0.036036036036036036,0.2358974358974359
Logistic,0.7913196413196414,0.03726453726453727,0.23846153846153847
Logistic,0.7913196413196414,0.03849303849303849,0.24102564102564103
Logistic,0.7913196413196414,0.038902538902538905,0.24358974358974358
Logistic,0.7913196413196414,0.03931203931203931,0.24615384615384617
Logistic,0.7913196413196414,0.039721539721539724,0.24871794871794872
Logistic,0.7913196413196414,0.04095004095004095,0.25384615384615383
Logistic,0.7913196413196414,0.04176904176904177,0.26153846153846155
Logistic,0.7913196413196414,0.04217854217854218,0.2641025641025641
Logistic,0.7913196413196414,0.042997542997543,0.2692307692307692
Logistic,0.7913196413196414,0.043407043407043405,0.27692307692307694
Logistic,0.7913196413196414,0.04381654381654382,0.2794871794871795
Logistic,0.7913196413196414,0.04463554463554464,0.2846153846153846
Logistic,0.7913196413196414,0.04586404586404586,0.28974358974358977
Logistic,0.7913196413196414,0.047092547092547093,0.2923076923076923
Logistic,0.7913196413196414,0.0475020475020475,0.29743589743589743
Logistic,0.7913196413196414,0.04914004914004914,0.3
Logistic,0.7913196413196414,0.04954954954954955,0.30256410256410254
Logistic,0.7913196413196414,0.052825552825552825,0.3076923076923077
Logistic,0.7913196413196414,0.053644553644553644,0.31025641025641026
Logistic,0.7913196413196414,0.054873054873054876,0.3128205128205128
Logistic,0.7913196413196414,0.055692055692055695,0.3153846153846154
Logistic,0.7913196413196414,0.056511056511056514,0.31794871794871793
Logistic,0.7913196413196414,0.05773955773955774,0.32051282051282054
Logistic,0.7913196413196414,0.06060606060606061,0.3230769230769231
Logistic,0.7913196413196414,0.0642915642915643,0.32564102564102565
Logistic,0.7913196413196414,0.06633906633906633,0.3282051282051282
Logistic,0.7913196413196414,0.0687960687960688,0.3333333333333333
Logistic,0.7913196413196414,0.06920556920556921,0.33589743589743587
Logistic,0.7913196413196414,0.06961506961506962,0.3384615384615385
Logistic,0.7913196413196414,0.07248157248157248,0.34102564102564104
Logistic,0.7913196413196414,0.0733005733005733,0.3435897435897436
Logistic,0.7913196413196414,0.07371007371007371,0.3487179487179487
Logistic,0.7913196413196414,0.07411957411957412,0.35128205128205126
Logistic,0.7913196413196414,0.07616707616707617,0.35384615384615387
Logistic,0.7913196413196414,0.07698607698607698,0.358974358974359
Logistic,0.7913196413196414,0.07944307944307945,0.3641025641025641
Logistic,0.7913196413196414,0.08026208026208026,0.36923076923076925
Logistic,0.7913196413196414,0.08149058149058148,0.3717948717948718
Logistic,0.7913196413196414,0.08312858312858312,0.37435897435897436
Logistic,0.7913196413196414,0.08353808353808354,0.3769230769230769
Logistic,0.7913196413196414,0.08394758394758395,0.37948717948717947
Logistic,0.7913196413196414,0.08476658476658476,0.382051282051282
Logistic,0.7913196413196414,0.08517608517608517,0.38974358974358975
Logistic,0.7913196413196414,0.08722358722358722,0.39487179487179486
Logistic,0.7913196413196414,0.08927108927108927,0.3974358974358974
Logistic,0.7913196413196414,0.09009009009009009,0.4
Logistic,0.7913196413196414,0.0904995904995905,0.40512820512820513
Logistic,0.7913196413196414,0.09213759213759214,0.4128205128205128
Logistic,0.7913196413196414,0.09254709254709255,0.4153846153846154
Logistic,0.7913196413196414,0.09295659295659296,0.41794871794871796
Logistic,0.7913196413196414,0.09377559377559377,0.4205128205128205
Logistic,0.7913196413196414,0.095004095004095,0.4230769230769231
Logistic,0.7913196413196414,0.09705159705159705,0.4256410256410256
Logistic,0.7913196413196414,0.0990990990990991,0.4282051282051282
Logistic,0.7913196413196414,0.10032760032760032,0.4307692307692308
Logistic,0.7913196413196414,0.10073710073710074,0.43333333333333335
Logistic,0.7913196413196414,0.10155610155610155,0.4358974358974359
Logistic,0.7913196413196414,0.10401310401310401,0.43846153846153846
Logistic,0.7913196413196414,0.10442260442260443,0.441025641025641
Logistic,0.7913196413196414,0.10606060606060606,0.44358974358974357
Logistic,0.7913196413196414,0.10728910728910729,0.4461538461538462
Logistic,0.7913196413196414,0.1076986076986077,0.44871794871794873
Logistic,0.7913196413196414,0.10810810810810811,0.4512820512820513
Logistic,0.7913196413196414,0.10892710892710893,0.45384615384615384
Logistic,0.7913196413196414,0.10974610974610975,0.45897435897435895
Logistic,0.7913196413196414,0.11015561015561015,0.46153846153846156
Logistic,0.7913196413196414,0.11097461097461098,0.4666666666666667
Logistic,0.7913196413196414,0.11588861588861589,0.46923076923076923
Logistic,0.7913196413196414,0.11711711711711711,0.4717948717948718
Logistic,0.7913196413196414,0.11793611793611794,0.47435897435897434
Logistic,0.7913196413196414,0.11998361998361998,0.47692307692307695
Logistic,0.7913196413196414,0.1208026208026208,0.4794871794871795
Logistic,0.7913196413196414,0.12776412776412777,0.4846153846153846
Logistic,0.7913196413196414,0.1285831285831286,0.48717948717948717
Logistic,0.7913196413196414,0.13185913185913187,0.4948717948717949
Logistic,0.7913196413196414,0.13308763308763308,0.49743589743589745
Logistic,0.7913196413196414,0.1339066339066339,0.5
Logistic,0.7913196413196414,0.13595413595413594,0.5025641025641026
Logistic,0.7913196413196414,0.13636363636363635,0.5102564102564102
Logistic,0.7913196413196414,0.138001638001638,0.5153846153846153
Logistic,0.7913196413196414,0.13923013923013924,0.517948717948718
Logistic,0.7913196413196414,0.14250614250614252,0.5205128205128206
Logistic,0.7913196413196414,0.1429156429156429,0.5230769230769231
Logistic,0.7913196413196414,0.14782964782964783,0.5256410256410257
Logistic,0.7913196413196414,0.1506961506961507,0.5282051282051282
Logistic,0.7913196413196414,0.1511056511056511,0.5307692307692308
Logistic,0.7913196413196414,0.15192465192465193,0.5333333333333333
Logistic,0.7913196413196414,0.1547911547911548,0.5358974358974359
Logistic,0.7913196413196414,0.15847665847665848,0.5384615384615384
Logistic,0.7913196413196414,0.16093366093366093,0.541025641025641
Logistic,0.7913196413196414,0.16134316134316135,0.5435897435897435
Logistic,0.7913196413196414,0.16666666666666666,0.5461538461538461
Logistic,0.7913196413196414,0.1678951678951679,0.5487179487179488
Logistic,0.7913196413196414,0.1683046683046683,0.5512820512820513
Logistic,0.7913196413196414,0.16871416871416872,0.5564102564102564
Logistic,0.7913196413196414,0.17158067158067158,0.558974358974359
Logistic,0.7913196413196414,0.171990171990172,0.5615384615384615
Logistic,0.7913196413196414,0.17649467649467648,0.5641025641025641
Logistic,0.7913196413196414,0.17977067977067976,0.5666666666666667
Logistic,0.7913196413196414,0.18058968058968058,0.5717948717948718
Logistic,0.7913196413196414,0.18304668304668303,0.5743589743589743
Logistic,0.7913196413196414,0.18386568386568386,0.5769230769230769
Logistic,0.7913196413196414,0.18427518427518427,0.5794871794871795
Logistic,0.7913196413196414,0.18468468468468469,0.5820512820512821
Logistic,0.7913196413196414,0.1855036855036855,0.5846153846153846
Logistic,0.7913196413196414,0.18714168714168714,0.5871794871794872
Logistic,0.7913196413196414,0.19123669123669124,0.5897435897435898
Logistic,0.7913196413196414,0.19164619164619165,0.5923076923076923
Logistic,0.7913196413196414,0.19205569205569206,0.5948717948717949
Logistic,0.7913196413196414,0.19615069615069616,0.5974358974358974
Logistic,0.7913196413196414,0.1977886977886978,0.6
Logistic,0.7913196413196414,0.20147420147420148,0.6025641025641025
Logistic,0.7913196413196414,0.20270270270270271,0.6051282051282051
Logistic,0.7913196413196414,0.2031122031122031,0.6076923076923076
Logistic,0.7913196413196414,0.20393120393120392,0.6102564102564103
Logistic,0.7913196413196414,0.20925470925470926,0.6153846153846154
Logistic,0.7913196413196414,0.21048321048321048,0.617948717948718
Logistic,0.7913196413196414,0.21375921375921375,0.6205128205128205
Logistic,0.7913196413196414,0.214987714987715,0.6256410256410256
Logistic,0.7913196413196414,0.21867321867321868,0.6282051282051282
Logistic,0.7913196413196414,0.22072072072072071,0.6307692307692307
Logistic,0.7913196413196414,0.22358722358722358,0.6333333333333333
Logistic,0.7913196413196414,0.223996723996724,0.6358974358974359
Logistic,0.7913196413196414,0.22563472563472564,0.6384615384615384
Logistic,0.7913196413196414,0.22604422604422605,0.6461538461538462
Logistic,0.7913196413196414,0.22686322686322685,0.6487179487179487
Logistic,0.7913196413196414,0.22727272727272727,0.6512820512820513
Logistic,0.7913196413196414,0.22932022932022933,0.6538461538461539
Logistic,0.7913196413196414,0.23136773136773137,0.658974358974359
Logistic,0.7913196413196414,0.2334152334152334,0.6615384615384615
Logistic,0.7913196413196414,0.23505323505323505,0.6641025641025641
Logistic,0.7913196413196414,0.23546273546273547,0.6717948717948717
Logistic,0.7913196413196414,0.23832923832923833,0.6743589743589744
Logistic,0.7913196413196414,0.23996723996723995,0.676923076923077
Logistic,0.7913196413196414,0.2416052416052416,0.6794871794871795
Logistic,0.7913196413196414,0.24365274365274364,0.6820512820512821
Logistic,0.7913196413196414,0.24856674856674857,0.6846153846153846
Logistic,0.7913196413196414,0.2502047502047502,0.6871794871794872
Logistic,0.7913196413196414,0.25184275184275184,0.6897435897435897
Logistic,0.7913196413196414,0.2592137592137592,0.6923076923076923
Logistic,0.7913196413196414,0.26085176085176087,0.6948717948717948
Logistic,0.7913196413196414,0.2620802620802621,0.7
Logistic,0.7913196413196414,0.26248976248976247,0.7025641025641025
Logistic,0.7913196413196414,0.26453726453726456,0.7051282051282052
Logistic,0.7913196413196414,0.2678132678132678,0.7076923076923077
Logistic,0.7913196413196414,0.26945126945126946,0.7128205128205128
Logistic,0.7913196413196414,0.27313677313677315,0.7153846153846154
Logistic,0.7913196413196414,0.27354627354627353,0.717948717948718
Logistic,0.7913196413196414,0.2784602784602785,0.7205128205128205
Logistic,0.7913196413196414,0.2800982800982801,0.7256410256410256
Logistic,0.7913196413196414,0.2805077805077805,0.7282051282051282
Logistic,0.7913196413196414,0.28378378378378377,0.7307692307692307
Logistic,0.7913196413196414,0.2882882882882883,0.7333333333333333
Logistic,0.7913196413196414,0.2936117936117936,0.735897435897436
Logistic,0.7913196413196414,0.29606879606879605,0.7384615384615385
Logistic,0.7913196413196414,0.2977067977067977,0.7410256410256411
Logistic,0.7913196413196414,0.30999180999181,0.7435897435897436
Logistic,0.7913196413196414,0.3104013104013104,0.7461538461538462
Logistic,0.7913196413196414,0.31122031122031124,0.7487179487179487
Logistic,0.7913196413196414,0.3140868140868141,0.7512820512820513
Logistic,0.7913196413196414,0.3153153153153153,0.7538461538461538
Logistic,0.7913196413196414,0.3157248157248157,0.7564102564102564
Logistic,0.7913196413196414,0.31695331695331697,0.7589743589743589
Logistic,0.7913196413196414,0.3263718263718264,0.7615384615384615
Logistic,0.7913196413196414,0.3321048321048321,0.764102564102564
Logistic,0.7913196413196414,0.3325143325143325,0.7666666666666667
Logistic,0.7913196413196414,0.3353808353808354,0.7717948717948718
Logistic,0.7913196413196414,0.33824733824733827,0.7743589743589744
Logistic,0.7913196413196414,0.3407043407043407,0.7769230769230769
Logistic,0.7913196413196414,0.34561834561834565,0.7794871794871795
Logistic,0.7913196413196414,0.34602784602784603,0.782051282051282
Logistic,0.7913196413196414,0.3484848484848485,0.7846153846153846
Logistic,0.7913196413196414,0.3501228501228501,0.7871794871794872
Logistic,0.7913196413196414,0.35053235053235055,0.7897435897435897
Logistic,0.7913196413196414,0.35298935298935297,0.7923076923076923
Logistic,0.7913196413196414,0.35667485667485666,0.7948717948717948
Logistic,0.7913196413196414,0.3607698607698608,0.8
Logistic,0.7913196413196414,0.3669123669123669,0.8025641025641026
Logistic,0.7913196413196414,0.3677313677313677,0.8051282051282052
Logistic,0.7913196413196414,0.3824733824733825,0.8076923076923077
Logistic,0.7913196413196414,0.3906633906633907,0.8102564102564103
Logistic,0.7913196413196414,0.39434889434889436,0.8128205128205128
Logistic,0.7913196413196414,0.39475839475839475,0.8153846153846154
Logistic,0.7913196413196414,0.3988533988533989,0.8179487179487179
Logistic,0.7913196413196414,0.4009009009009009,0.8205128205128205
Logistic,0.7913196413196414,0.4021294021294021,0.823076923076923
Logistic,0.7913196413196414,0.40335790335790334,0.8256410256410256
